id_client,nom,prenom,date_naissance,nationalite,pays_residence,risque_pays,classification_pays,profession,secteur_activite,segment,patrimoine_declare,revenus_declare,structure_juridique,est_pep,type_pep,est_mep,est_sous_sanctions,est_declare_crf,screening_worldcheck,screening_dowjones,date_entree_relation
CLI_0038,Cordier,Sophie,1989-01-31,France,France,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1000000.0,97293.91,physique,False,,False,False,False,clear,clear,2024-05-06
CLI_0039,Guichard,François,1958-12-29,Belgium,Portugal,0,FAIBLE,Directeur financier,Finance,HNWI,1000000.0,102579.67,physique,False,,False,False,False,clear,clear,2017-10-29
CLI_0040,Lopes,Simone,1986-11-10,Luxembourg,France,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,2275710.49,205489.75,physique,False,,False,False,False,clear,clear,2019-06-17
CLI_0041,Alves,Alain,1981-06-24,France,France,0,FAIBLE,Directeur financier,Finance,HNWI,3324821.7,353387.62,physique,False,,False,False,False,clear,clear,2022-01-28
CLI_0042,Gimenez,Grégoire,1988-08-07,Luxembourg,Luxembourg,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,2235460.48,260437.34,physique,False,,False,False,False,clear,clear,2017-01-23
CLI_0043,Barbe,Thibaut,1962-05-13,Belgium,Belgium,0,FAIBLE,Rentier,Patrimoine,HNWI,1828572.57,187656.12,physique,False,,False,False,False,clear,clear,2024-10-25
CLI_0044,Pasquier,Tristan,1992-10-28,France,France,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1605952.21,141019.72,physique,False,,False,False,False,clear,clear,2021-09-29
CLI_0045,Renault,François,1985-11-01,Italy,Portugal,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1000000.0,77263.38,physique,False,,False,False,False,clear,clear,2021-03-12
CLI_0046,Maréchal,Clémence,1947-10-19,Luxembourg,Sweden,0,FAIBLE,Notaire,Juridique,HNWI,1197934.11,139846.98,physique,False,,False,False,False,clear,clear,2021-12-03
CLI_0047,Lefèvre,Danielle,1969-01-30,Belgium,Belgium,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1436259.7,152056.76,physique,False,,False,False,False,clear,clear,2021-04-08
CLI_0048,Maury,Constance,1967-05-28,Norway,Norway,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,4155675.54,247258.39,physique,False,,False,False,False,clear,clear,2021-09-28
CLI_0049,Couturier,Paul,1975-12-24,France,France,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,2521924.36,140555.51,physique,False,,False,False,False,clear,pending,2024-12-01
CLI_0050,Coulon,Martin,1977-02-20,France,France,0,FAIBLE,Directeur financier,Finance,HNWI,1000000.0,51426.6,physique,False,,False,False,False,clear,clear,2017-03-18
CLI_0051,Lelièvre,Corinne,1991-07-21,Denmark,Belgium,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,2487674.21,249476.42,physique,False,,False,False,False,clear,clear,2021-11-09
CLI_0052,Lucas,Cécile,1964-07-17,Belgium,Belgium,0,FAIBLE,Héritier,Patrimoine,HNWI,1514267.53,138475.0,physique,False,,False,False,False,clear,clear,2022-01-23
CLI_0053,Mahe,Christophe,1996-05-04,France,France,0,FAIBLE,Directeur financier,Finance,HNWI,1234472.86,98741.11,physique,False,,False,False,False,clear,clear,2022-03-30
CLI_0054,Fernandes,Denise,1976-01-07,Finland,Finland,0,FAIBLE,Banquier privé,Finance,HNWI,3042449.19,244868.78,physique,False,,False,False,False,hit,clear,2022-10-03
CLI_0055,Lemonnier,Charles,1991-05-03,Italy,Italy,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,4080375.86,274138.67,physique,False,,False,False,False,clear,clear,2017-07-01
CLI_0056,Lefort,Adélaïde,1968-01-14,Portugal,Portugal,0,FAIBLE,Notaire,Juridique,HNWI,3805264.59,246765.28,physique,False,,False,False,False,clear,clear,2022-08-19
CLI_0057,Petitjean,Constance,1949-07-16,Portugal,Portugal,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1101901.34,97917.53,physique,False,,False,False,False,clear,clear,2024-03-15
CLI_0058,Neveu,Margaux,1977-12-05,France,France,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1596862.52,132744.36,physique,False,,False,False,False,clear,clear,2016-10-04
CLI_0059,Arnaud,Frédérique,1948-07-20,France,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,505096.8,51520.72,physique,False,,False,False,False,clear,clear,2020-12-04
CLI_0060,Henry,Nicole,1983-07-22,Belgium,Portugal,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,3925018.37,277645.02,physique,False,,False,False,False,clear,clear,2025-01-09
CLI_0061,Guillon,Clémence,1969-11-16,Spain,France,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,365247.43,30812.82,moral,False,,False,False,False,clear,clear,2025-07-19
CLI_0062,Moulin,Vincent,1976-03-30,France,France,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1741119.26,96084.98,physique,False,,False,False,False,clear,clear,2016-10-05
CLI_0063,Grondin,Isaac,1979-08-29,Belgium,Belgium,0,FAIBLE,Entrepreneur tech,Technologie,mass_affluent,284209.24,26513.68,physique,False,,False,False,False,clear,clear,2019-11-22
CLI_0064,Guillaume,Claudine,1983-10-03,France,France,0,FAIBLE,Expert comptable,Finance,HNWI,1000000.0,103391.6,physique,False,,False,False,False,clear,clear,2022-09-10
CLI_0065,Lemoine,Brigitte,1982-12-26,France,France,0,FAIBLE,Notaire,Juridique,HNWI,3501731.35,231826.3,physique,False,,False,False,False,clear,clear,2019-06-14
CLI_0066,Bernard,Camille,1990-07-19,Belgium,Belgium,0,FAIBLE,Héritier,Patrimoine,HNWI,5123600.74,451488.45,physique,False,,False,False,False,clear,clear,2018-07-06
CLI_0067,Lamy,Nicole,1947-02-22,France,France,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1885291.32,156118.82,physique,False,,False,False,False,clear,clear,2020-01-27
CLI_0068,Fernandes,Henri,1973-11-16,Belgium,Belgium,0,FAIBLE,Médecin chirurgien,Santé,HNWI,4002673.33,225722.29,physique,False,,False,False,False,clear,clear,2019-01-27
CLI_0069,Philippe,Daniel,1987-01-09,Luxembourg,Luxembourg,0,FAIBLE,Directeur banque centrale,Finance,HNWI,2553933.35,159016.45,physique,True,PPE1,False,False,False,clear,clear,2017-01-06
CLI_0070,Godard,Marianne,1955-06-12,Monaco,Monaco,19,INTERDIT,Médecin chirurgien,Santé,HNWI,1262262.33,122325.02,physique,False,,False,False,False,clear,clear,2023-12-29
CLI_0071,Jacquet,Michèle,1996-05-03,France,France,0,FAIBLE,Ancien ministre,Politique,HNWI,2553503.57,172790.27,physique,True,PPE1,False,False,False,clear,clear,2023-07-31
CLI_0072,Vasseur,Dorothée,1989-05-20,Finland,Finland,0,FAIBLE,Dirigeant PME,Industrie,HNWI,5818922.1,599063.97,physique,False,,False,False,False,clear,clear,2023-03-08
CLI_0073,Michaud,Charles,1995-12-19,Belgium,Belgium,0,FAIBLE,Héritier,Patrimoine,HNWI,1933653.49,129072.96,physique,False,,False,False,False,clear,clear,2023-10-18
CLI_0074,Blondel,Auguste,1964-12-17,France,France,0,FAIBLE,Directeur banque centrale,Finance,HNWI,5928314.86,360310.99,physique,True,PPE1,False,False,False,clear,clear,2019-06-11
CLI_0075,Foucher,Véronique,1988-05-18,Italy,France,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,1000000.0,85576.86,physique,False,,False,False,False,clear,clear,2018-05-31
CLI_0076,Andre,Alexandre,1985-04-08,Italy,Italy,0,FAIBLE,Médecin chirurgien,Santé,HNWI,3524791.18,382874.5,physique,False,,False,False,False,clear,clear,2025-03-22
CLI_0077,Louis,Louis,1991-08-21,Sweden,France,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,2107331.36,250043.77,physique,False,,False,False,False,clear,clear,2023-07-21
CLI_0078,Rémy,Marianne,1948-02-12,France,France,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,1608310.58,153820.96,physique,False,,False,False,False,hit,clear,2021-10-12
CLI_0079,Chartier,Claudine,1972-10-25,Germany,Germany,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,2114296.19,127049.92,physique,False,,False,False,False,hit,clear,2025-06-07
CLI_0080,Salmon,Margot,1993-07-02,Sweden,Italy,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,1000000.0,110153.95,physique,False,,False,False,False,clear,clear,2019-12-19
CLI_0081,Vidal,Olivie,1958-06-18,Finland,Italy,0,FAIBLE,Rentier,Patrimoine,mass_affluent,405198.05,41441.08,physique,False,,False,False,False,clear,clear,2021-06-19
CLI_0082,Bonneau,Élodie,1979-03-05,Sweden,Sweden,0,FAIBLE,Médecin chirurgien,Santé,HNWI,2545859.32,194093.45,physique,False,,False,False,False,clear,clear,2025-01-25
CLI_0083,Evrard,Alice,1972-06-08,Italy,Italy,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,5579031.94,506693.25,physique,False,,False,False,False,clear,clear,2018-03-24
CLI_0084,Jacques,Michèle,1960-02-25,Belgium,Belgium,0,FAIBLE,Rentier,Patrimoine,mass_affluent,359579.98,26677.09,physique,False,,False,False,False,clear,clear,2022-01-12
CLI_0085,Lebreton,Constance,1972-01-03,France,France,0,FAIBLE,Rentier,Patrimoine,HNWI,1125856.32,84582.37,physique,False,,False,False,False,clear,clear,2020-12-08
CLI_0086,Germain,Louis,1955-08-29,France,Finland,0,FAIBLE,Médecin chirurgien,Santé,HNWI,1395509.4,142568.1,physique,False,,True,False,False,clear,clear,2020-06-16
CLI_0087,Lemaire,Cécile,1948-10-01,France,France,0,FAIBLE,Banquier privé,Finance,mass_affluent,638042.93,62311.18,physique,False,,False,False,False,clear,clear,2018-01-16
CLI_0088,Labbé,Frédéric,1987-06-01,France,France,0,FAIBLE,Banquier privé,Finance,HNWI,2495814.72,197382.05,physique,False,,False,False,False,clear,clear,2019-07-09
CLI_0089,Laine,Roland,1988-02-23,Germany,France,0,FAIBLE,Avocat d'affaires,Juridique,mass_affluent,357931.15,25291.38,physique,False,,False,False,False,clear,clear,2024-09-16
CLI_0090,Bègue,Alexandria,1981-04-19,Luxembourg,France,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,2839922.17,301943.75,physique,False,,False,False,False,clear,clear,2019-12-13
CLI_0091,Chartier,Agathe,1947-12-25,Spain,Belgium,0,FAIBLE,Médecin chirurgien,Santé,HNWI,2122179.71,122204.08,physique,False,,False,False,False,clear,clear,2019-07-14
CLI_0092,Thibault,Brigitte,1958-06-03,Belgium,Belgium,0,FAIBLE,Héritier,Patrimoine,mass_affluent,651777.16,51217.11,physique,False,,False,False,False,clear,clear,2023-02-08
CLI_0093,Barbier,Anastasie,1950-12-22,Spain,France,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,334094.37,32993.11,physique,False,,False,False,False,clear,clear,2022-09-11
CLI_0094,Courtois,Astrid,1966-12-14,Sweden,Sweden,0,FAIBLE,Directeur financier,Finance,HNWI,1576371.9,119705.11,moral,False,,False,False,False,clear,clear,2022-10-14
CLI_0095,Jacquet,Victor,1966-02-22,France,France,0,FAIBLE,Directeur financier,Finance,HNWI,1506838.48,177467.12,physique,False,,False,False,False,clear,clear,2019-03-11
CLI_0096,Poulain,Aurore,1994-07-19,France,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,246371.05,15857.52,physique,False,,False,False,False,clear,clear,2024-02-10
CLI_0097,Bonneau,Sylvie,1957-10-19,Finland,Finland,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,2439452.52,146679.79,physique,False,,False,False,False,clear,clear,2023-01-08
CLI_0098,Michel,David,1972-07-06,Belgium,Belgium,0,FAIBLE,Dirigeant PME,Industrie,HNWI,2380303.81,163231.06,physique,False,,False,False,False,clear,clear,2020-10-31
CLI_0099,Evrard,Michelle,1973-05-29,Italy,France,0,FAIBLE,Médecin chirurgien,Santé,HNWI,1989869.11,105533.81,physique,False,,False,False,False,clear,clear,2018-11-27
CLI_0100,Rodriguez,Marc,1991-06-06,France,France,0,FAIBLE,Diplomate,Politique,mass_affluent,402787.8,23183.39,physique,True,PPE1,False,False,False,clear,clear,2020-01-15
CLI_0101,Hoarau,Alain,1953-07-08,France,France,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1000000.0,119623.94,physique,False,,False,False,False,clear,clear,2024-12-28
CLI_0102,Marie,Gilles,1978-12-24,Monaco,France,0,FAIBLE,Directeur financier,Finance,HNWI,1477036.5,118317.86,physique,False,,False,False,False,clear,clear,2020-07-19
CLI_0103,Lebon,Olivie,1986-01-04,France,France,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,1559849.4,129777.52,physique,False,,False,False,False,clear,clear,2020-11-22
CLI_0104,Mallet,Anastasie,1966-02-22,Portugal,Portugal,0,FAIBLE,Promoteur immobilier,Immobilier,mass_affluent,320965.56,18794.52,moral,False,,False,False,False,clear,clear,2021-08-20
CLI_0105,Chauvin,Alain,1958-12-02,Sweden,Sweden,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,1771079.85,107736.76,physique,False,,False,False,False,clear,clear,2022-12-14
CLI_0106,Duval,Gabrielle,1965-12-08,Norway,Belgium,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,520018.85,55792.76,physique,False,,False,False,False,clear,clear,2024-12-07
CLI_0107,Georges,Luc,1988-12-26,Finland,Luxembourg,0,FAIBLE,Rentier,Patrimoine,mass_affluent,940789.18,70156.19,physique,False,,False,False,False,clear,clear,2017-12-02
CLI_0108,Verdier,Charles,1985-02-05,France,France,0,FAIBLE,Gestionnaire de fonds,Finance,mass_affluent,474411.86,35041.35,physique,False,,False,False,False,clear,clear,2017-08-13
CLI_0109,Weber,Hortense,1945-08-25,Belgium,Belgium,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,490421.33,39732.91,physique,False,,False,False,False,clear,clear,2020-09-30
CLI_0110,Lamy,Amélie,1945-08-08,France,France,0,FAIBLE,Avocat d'affaires,Juridique,mass_affluent,429433.27,41525.89,physique,False,,False,False,False,clear,clear,2023-06-21
CLI_0111,Reynaud,Marine,1955-02-02,France,France,0,FAIBLE,Entrepreneur tech,Technologie,mass_affluent,205354.19,17417.52,physique,False,,False,False,False,clear,clear,2021-08-21
CLI_0112,Sanchez,Patrick,1951-09-05,France,France,0,FAIBLE,Notaire,Juridique,HNWI,1946299.21,99868.33,physique,False,,False,False,False,clear,clear,2017-04-11
CLI_0113,Roussel,Roland,1977-08-21,Belgium,Belgium,0,FAIBLE,Gestionnaire de fonds,Finance,mass_affluent,453201.48,52722.29,physique,False,,False,False,False,clear,clear,2018-02-18
CLI_0114,Dupré,Bertrand,1953-11-05,France,France,0,FAIBLE,Dirigeant PME,Industrie,HNWI,11120151.59,728481.62,physique,False,,False,False,False,clear,clear,2019-03-07
CLI_0115,Besnard,Robert,1952-10-28,Spain,Belgium,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,1732970.12,115309.79,moral,False,,False,False,False,clear,clear,2019-07-16
CLI_0116,Delmas,Dominique,1966-11-05,Italy,Italy,0,FAIBLE,Directeur financier,Finance,HNWI,2448737.49,199384.45,physique,False,,False,False,False,clear,clear,2021-09-14
CLI_0117,Leclerc,Augustin,1963-10-14,Belgium,Belgium,0,FAIBLE,Rentier,Patrimoine,mass_affluent,436313.06,46137.09,physique,False,,False,False,False,clear,clear,2020-03-06
CLI_0118,Girard,Arnaude,1988-06-13,France,France,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,277209.49,23699.96,physique,False,,False,False,False,clear,clear,2017-03-06
CLI_0119,Pereira,Audrey,1973-03-01,Sweden,Sweden,0,FAIBLE,Médecin chirurgien,Santé,HNWI,4412605.86,516453.88,physique,False,,False,False,False,clear,clear,2017-09-04
CLI_0120,Guillaume,Claire,1979-01-02,Norway,Norway,0,FAIBLE,Dirigeant PME,Industrie,mass_affluent,597657.55,55394.71,physique,False,,False,False,False,clear,clear,2021-11-17
CLI_0121,Guillaume,Madeleine,1984-03-18,Italy,Italy,0,FAIBLE,Directeur financier,Finance,HNWI,3449439.68,336273.99,physique,False,,False,False,False,clear,clear,2018-11-28
CLI_0122,Lelièvre,Gilbert,1968-10-03,Sweden,Sweden,0,FAIBLE,Rentier,Patrimoine,HNWI,1049084.86,100632.24,physique,False,,False,False,False,clear,clear,2023-01-04
CLI_0123,François,Daniel,1957-05-09,Monaco,France,0,FAIBLE,Notaire,Juridique,HNWI,5293319.0,538405.85,physique,False,,False,False,False,clear,clear,2017-11-13
CLI_0124,Delaunay,Agathe,1990-10-02,France,France,0,FAIBLE,Promoteur immobilier,Immobilier,mass_affluent,252523.5,30302.41,physique,False,,False,False,False,clear,clear,2024-12-07
CLI_0125,Pons,Madeleine,1983-01-12,Belgium,Belgium,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,2990047.9,228351.13,physique,False,,False,False,False,clear,clear,2024-06-03
CLI_0126,Lopez,Odette,1977-04-17,Italy,Italy,0,FAIBLE,Chef d'entreprise,Commerce,HNWI,9187173.99,852033.95,physique,False,,False,False,False,clear,clear,2021-10-21
CLI_0127,Gomez,Patricia,1986-03-20,France,France,0,FAIBLE,Diplomate,Politique,HNWI,1000000.0,116299.11,physique,True,PPE1,False,False,False,clear,clear,2018-02-09
CLI_0128,Delannoy,Guillaume,1980-07-18,Portugal,France,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,1333865.38,71565.33,physique,False,,False,False,False,clear,clear,2018-01-30
CLI_0129,Michel,Marc,1970-10-08,Germany,Portugal,0,FAIBLE,Avocat d'affaires,Juridique,mass_affluent,460404.42,27769.02,physique,False,,False,False,False,clear,clear,2025-05-29
CLI_0130,Bazin,Laure,1956-02-06,France,France,0,FAIBLE,Promoteur immobilier,Immobilier,mass_affluent,361714.22,20151.96,physique,False,,False,False,False,clear,clear,2021-06-18
CLI_0131,Bousquet,Victoire,1962-11-27,Portugal,Portugal,0,FAIBLE,Promoteur immobilier,Immobilier,mass_affluent,237930.67,14208.15,physique,False,,False,False,False,clear,clear,2018-04-16
CLI_0132,Delahaye,Odette,1972-01-08,France,France,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,2080240.53,217035.83,physique,False,,False,False,False,clear,clear,2018-04-04
CLI_0133,Lopes,Élodie,1982-05-01,Belgium,Belgium,0,FAIBLE,Expert comptable,Finance,HNWI,1000000.0,86076.3,physique,False,,False,False,False,clear,clear,2024-10-28
CLI_0134,Traore,Virginie,1946-07-17,Belgium,Belgium,0,FAIBLE,Entrepreneur tech,Technologie,HNWI,2762135.59,239820.11,physique,False,,False,False,False,pending,clear,2017-11-26
CLI_0135,Lejeune,Alix,1975-07-22,France,France,0,FAIBLE,Médecin chirurgien,Santé,HNWI,1041740.09,57013.57,physique,False,,False,False,False,clear,clear,2017-12-13
CLI_0136,Delahaye,Thomas,1964-09-09,Belgium,Belgium,0,FAIBLE,Gestionnaire de fonds,Finance,HNWI,5867587.29,613397.47,physique,False,,False,False,False,clear,clear,2018-10-19
CLI_0137,Marchal,Claudine,1965-06-07,Finland,Finland,0,FAIBLE,Dirigeant PME,Industrie,HNWI,1145924.96,128349.7,physique,False,,False,False,False,clear,clear,2025-03-05
CLI_0138,Guillet,Théophile,1954-04-01,France,Finland,0,FAIBLE,Avocat d'affaires,Juridique,HNWI,1582564.1,115898.65,physique,False,,False,False,False,clear,clear,2024-11-29
CLI_0139,Bernard,Marcel,1973-07-29,Portugal,Portugal,0,FAIBLE,Rentier,Patrimoine,HNWI,3504162.31,370776.68,physique,False,,False,False,False,clear,clear,2019-07-19
CLI_0140,De Oliveira,Margot,1987-11-14,France,France,0,FAIBLE,Directeur banque centrale,Finance,mass_affluent,270399.09,26029.79,physique,True,PPE1,False,False,False,clear,clear,2021-10-28
CLI_0141,Roger,Simone,1965-11-29,Belgium,Belgium,0,FAIBLE,Promoteur immobilier,Immobilier,HNWI,2324979.91,275747.06,physique,False,,False,False,False,clear,clear,2018-11-03
CLI_0142,Gérard,Alexandria,1992-05-18,France,France,0,FAIBLE,Banquier privé,Finance,HNWI,4950503.9,399367.53,physique,False,,False,False,False,clear,clear,2018-06-12
CLI_0143,Rémy,Nathalie,1948-02-14,Germany,France,0,FAIBLE,Ancien ministre,Politique,mass_affluent,232583.99,17685.9,physique,True,PPE1,False,False,False,clear,clear,2024-03-25
CLI_0144,Breton,Zoé,1987-08-06,France,France,0,FAIBLE,Directeur financier,Finance,mass_affluent,476323.99,54276.15,physique,False,,False,False,False,clear,clear,2022-06-19
